Portfolio,Owner,Instrument,Date,Price
Fannie Mae,SimCorp,Equity,21/04/2018 12:11:45,150.99
Bank of America,Microsoft,Futures,15/04/2018 01:49:35,77.65
BNP Paribas,Toyota,Deposit,02/07/2018 17:09:54,93.80
Fannie Mae,Apple,Loan,23/07/2018 01:32:48,390.62
Fannie Mae,Apple,Bond,18/10/2018 03:15:46,333.77
Fannie Mae,Apple,Options,02/07/2018 10:42:38,197.80
Finanz Informatik,Microsoft,Bond,02/09/2018 11:01:48,24.25
Barclays,Apple,Deposit,01/01/2018 02:39:03,246.82
Barclays,Amazon,Options,11/01/2018 04:26:47,855.05
Finanz Informatik,Ford,Options,01/09/2018 21:57:20,244.89
BNP Paribas,SimCorp,Loan,05/10/2018 04:13:35,174.83
UOB,Toyota,CDS,16/04/2018 23:39:02,506.69
BNP Paribas,Google,Loan,07/01/2018 14:25:06,323.30
BNP Paribas,Microsoft,Loan,24/10/2018 01:03:50,207.64
State Bank of India,Samsung,Loan,18/07/2018 15:12:18,281.31
Fannie Mae,Ford,Swap,04/10/2018 21:12:18,23.06
Deutsche Bank,Google,Options,25/05/2018 11:21:57,335.99
State Bank of India,Samsung,Equity,01/02/2018 05:56:43,272.62
Barclays,Google,Swap,25/12/2018 04:20:32,254.93
UOB,Toyota,Loan,15/05/2018 19:15:53,583.90
Finanz Informatik,Microsoft,Deposit,03/08/2018 10:48:52,179.39
State Bank of India,SimCorp,Swap,05/12/2018 14:13:38,746.08
BNP Paribas,Samsung,Loan,21/07/2018 05:32:47,369.16
State Bank of India,Apple,Bond,09/03/2018 04:18:16,161.72
Finanz Informatik,SimCorp,Deposit,28/08/2018 09:51:19,461.32
Bank of America,Walmart,Futures,03/12/2018 11:52:19,173.23
State Bank of India,Apple,Loan,01/07/2018 21:25:40,820.97
Finanz Informatik,Ford,Deposit,10/01/2018 16:03:41,646.35
Finanz Informatik,Google,Options,17/08/2018 08:40:06,223.36
Finanz Informatik,Ford,Loan,17/01/2018 09:10:11,116.61
State Bank of India,Google,CDS,18/03/2018 16:51:22,126.86
Barclays,Google,Deposit,16/07/2018 16:25:39,294.74
Fannie Mae,Microsoft,Options,20/10/2018 08:35:45,708.64
Bank of America,Samsung,Bond,12/05/2018 04:34:24,447.00
Barclays,Microsoft,Futures,12/09/2018 03:12:48,1.73
State Bank of India,SimCorp,Equity,25/12/2018 15:38:50,424.22
BNP Paribas,Apple,Swap,26/08/2018 14:10:23,197.98
BNP Paribas,Apple,CDS,07/01/2018 22:49:49,58.53
Fannie Mae,Samsung,Loan,02/07/2018 01:39:06,254.53
Bank of America,Toyota,Swap,25/09/2018 09:24:51,428.56
State Bank of India,Samsung,CDS,23/02/2018 22:51:12,683.83
UOB,Samsung,Futures,06/11/2018 07:49:22,689.75
State Bank of India,Apple,Deposit,24/05/2018 09:07:58,532.76
Bank of America,Ford,Bond,19/07/2018 08:08:12,117.92
Fannie Mae,SimCorp,Futures,28/07/2018 17:17:59,152.31
Bank of America,Apple,Loan,26/11/2018 21:57:19,316.33
UOB,Samsung,Bond,13/10/2018 20:47:53,111.69
Fannie Mae,Walmart,Options,22/06/2018 11:40:17,222.57
BNP Paribas,Apple,Futures,10/07/2018 11:41:10,82.97
Finanz Informatik,Samsung,Swap,08/05/2018 07:25:33,499.89
State Bank of India,Amazon,CDS,14/08/2018 21:26:49,25.11
Fannie Mae,Toyota,Swap,09/02/2018 17:23:32,58.51
Fannie Mae,Walmart,Loan,15/06/2018 08:40:17,470.40
BNP Paribas,Google,Equity,06/03/2018 17:22:53,93.52
